Actor,Movies,Gender,Country,Role,url,NumLines
Steve Coogan,Philomena,Male,United Kingdom,Martin Sixsmith,http://1e36a764da2f6b46c156-0fa6f106d654e15326ee14d2a07c02d0.r64.cf1.rackcdn.com/2014/02/Philome0.pdf,619
Karl Urban,Riddick,Male,New Zealand,Vaako,http://davidtwohy.com/wp-content/uploads/2016/07/CHRONICLES-OF-RIDDICK-2-June-2003_WaterMark.pdf,200
Chris Hemsworth,Rush,Male,Australia,James Hunt,http://www.dailyscript.com/scripts/RUSH%5B2013%5D-PETER%20MORGAN.pdf,492
Emma Thompson,Saving Mr. Banks,Female,United Kingdom,P.L. Travers,https://stephenfollows.com/resource-docs/scripts/saving-mr-banks-screenplay.pdf,234
Ryan Reynolds,The Croods,Male,Canada,Guy       (voice),http://www.pages.drexel.edu/~i022/splaylib/Screenplay-Croods.pdf,362
Joel Edgerton,The Great Gatsby,Male,Australia,Tom Buchanan,https://stephenfollows.com/resource-docs/scripts/greatgatsby_sp.pdf,328
Ian Mckellen,The Hobbit: The Desolation of Smaug,Male,United Kingdom,Gandalf,http://file3.guildlaunch.net/361833/TheHobbitAUJ-MovieTranscriptWithoutImages.pdf,292
Martin Freeman,The Hobbit: The Desolation of Smaug,Male,United Kingdom,Bilbo,http://file3.guildlaunch.net/361833/TheHobbitAUJ-MovieTranscriptWithoutImages.pdf,494
Richard Armitage,The Hobbit: The Desolation of Smaug,Male,United Kingdom,Thorin,http://file3.guildlaunch.net/361833/TheHobbitAUJ-MovieTranscriptWithoutImages.pdf,236
Toni Collette,The Way Way Back,Female,Australia,Pam,http://www.pages.drexel.edu/~i022/splaylib/Screenplay-Way_Way_Back.pdf,250
Hugh Jackman,The Wolverine,Male,Australia,Logan,http://transcripts.wikia.com/wiki/The_Wolverine,502
Tao Okamoto,The Wolverine,Female,Japan,Mariko,http://transcripts.wikia.com/wiki/The_Wolverine,206
Chris Hemsworth,Thor: The Dark World,Male,Australia,Thor,http://transcripts.wikia.com/wiki/Thor:_The_Dark_World,277
Natalie Portman,Thor: The Dark World,Female,Israel,Jane Foster,http://transcripts.wikia.com/wiki/Thor:_The_Dark_World,269
Tom Hiddleston,Thor: The Dark World,Male,United Kingdom,Loki,http://transcripts.wikia.com/wiki/Thor:_The_Dark_World,174
Perdita Weeks,"As Above, So Below",Female,United Kingdom,Scarlett,http://www.horrorlair.com/movies/scripts/As-Above-So-Below_Dowdle's-2013-15-02.pdf,544
Jim Carrey,Dumb and Dumber To,Male,Canada,Lloyd,http://www.imsdb.com/scripts/Dumb-and-Dumber.html,650
Rosamund Pike,Gone Girl,Female,United Kingdom,Amy Dunne,http://www.dailyscript.com/scripts/GoneGirl_Fi0l_Shooting_Script.pdf,660
Kelly Reilly,Heaven Is for Real,Female,United Kingdom,Sonja Burpo,https://wikileaks.org/sony/docs/03_03/Mktrsch/Market%20Research/Scripts/Released/HEAVEN%20IS%20FOR%20REAL%20April%204%202013-Clean[2]%20Caren%20Beck.pdf,257
Alfie Allen,John Wick,Male,United Kingdom,Iosef Tarasov,http://la-screenwriter.com/wp-content/uploads/2016/07/John-Wick-AKA-Scorn-Derek-Kolstad-6.11.2012.pdf,88
Keanu Reeves,John Wick,Male,Lebanon,John Wick,http://la-screenwriter.com/wp-content/uploads/2016/07/John-Wick-AKA-Scorn-Derek-Kolstad-6.11.2012.pdf,567
Sharlto Copley,Maleficent,Male,South Africa,Stefan,https://www.docdroid.net/9fhh/maleficent.pdf#page=2,
Idris Elba,No Good Deed,Male,United Kingdom,Colin,http://henrybyrd.yolasite.com/resources/NO%20GOOD%20DEED%20screenplay.pdf,
Olivia Cooke,Ouija,Female,United Kingdom,Laine Morris,http://www.horrorlair.com/scripts/Ouija-09-26-13.pdf,684
Christopher Knights,Penguins of Madagascar,Male,United Kingdom,Private       (voice),http://madagascar.wikia.com/wiki/Penguins_of_Madagascar:_The_Movie/Transcript,65
Carmen Ejogo,Selma,Female,United Kingdom,Coretta Scott King,https://static1.squarespace.com/static/507f8be284aebdcd9b934b27/t/56ad4f9b1d07c0f90b2b3c70/1454198770668/SELMA-02.02.14-Paul-Webb-and-Ava-DuVer0y.pdf,84
David Oyelowo,Selma,Male,United Kingdom,"Dr. Martin Luther King, Jr.",https://static1.squarespace.com/static/507f8be284aebdcd9b934b27/t/56ad4f9b1d07c0f90b2b3c70/1454198770668/SELMA-02.02.14-Paul-Webb-and-Ava-DuVer0y.pdf,31
Naomi Watts,St. Vincent,Female,United Kingdom,Daka,http://www.moralpremise.com/ScreenplayStVincent.pdf,160
Ben Kingsley,The Boxtrolls,Male,United Kingdom,Archibald Snatcher       (voice),http://focusguilds2014.com/workspace/media/boxtrolls-screenplay.pdf,428
Jared Harris,The Boxtrolls,Male,United Kingdom,Lord Portley-Rind       (voice),http://focusguilds2014.com/workspace/media/boxtrolls-screenplay.pdf,191
Nick Frost,The Boxtrolls,Male,United Kingdom,Mr. Trout       (voice),http://focusguilds2014.com/workspace/media/boxtrolls-screenplay.pdf,131
Marton Csokas,The Equalizer,Male,New Zealand,Teddy,https://wikileaks.org/sony/docs/03_03/Mktrsch/F%20I%20L%20M%20S/EQUALIZER/Equalizer%2020120625.pdf,167
Brenton Thwaites,The Giver,Male,Australia,Jonas,https://www.scriptbuddy.com/community/?p=4291532310,589
Benedict Cumberbatch,The Imitation Game,Male,United Kingdom,Alan Turing,http://www.benedictcumberbatch.co.uk/wordpress/wp-content/uploads/ScreenplayTIG.pdf,176
Keira Knightley,The Imitation Game,Female,United Kingdom,Joan Clarke,http://www.benedictcumberbatch.co.uk/wordpress/wp-content/uploads/ScreenplayTIG.pdf,258
Matthew Goode,The Imitation Game,Male,United Kingdom,Hugh Alexander,http://www.benedictcumberbatch.co.uk/wordpress/wp-content/uploads/ScreenplayTIG.pdf,180
Eddie Redmayne,The Theory of Everything,Male,United Kingdom,Stephen Hawking,http://focusguilds2014.com/workspace/media/the-theory-of-everything-screenplay.pdf,579
Felicity Jones,The Theory of Everything,Female,United Kingdom,Jane Hawking,http://focusguilds2014.com/workspace/media/the-theory-of-everything-screenplay.pdf,449
Domhnall Gleeson,Unbroken,Male,Ireland,Phil,http://www.sellingyourscreenplay.com/wp-content/uploads/screenplay/scripts/Unbroken.pdf,130
Jack O'Connell,Unbroken,Male,United Kingdom,Louis Zamperini,http://www.sellingyourscreenplay.com/wp-content/uploads/screenplay/scripts/Unbroken.pdf,21
Alexander Ludwig,When the Game Stands Tall,Male,Canada,Chris Ryan,https://wikileaks.org/sony/docs/03_03/Mktrsch/Market%20Research/Scripts/WGST%20TAN%20Script%20Fully%20Collated%2C%206-3-13_%20Andrew%20Ferguson.pdf,246
Hugh Jackman,X-Men: Days of Future Past,Male,Australia,Logan /              Wolverine,http://transcripts.wikia.com/wiki/X-Men:_Days_of_Future_Past,108
Mark Rylance,Bridge of Spies,Male,United Kingdom,Rudolf Abel,http://dreamworksawards.com/download/BOS_screenplay.pdf,22
Cate Blanchett,Carol,Female,Australia,Carol Aird,http://twcguilds.com/wp-content/uploads/2015/09/CAROL_SCRIPT_wCover_R22.pdf,13
Carey Mulligan,Far from the Madding Crowd,Female,United Kingdom,Bathsheba Everdene,http://la-screenwriter.com/wp-content/uploads/2015/12/Far-From-the-Madding-Crowd.pdf,471
Matthias Schoenaerts,Far from the Madding Crowd,Male,Belgium,Gabriel Oak,http://la-screenwriter.com/wp-content/uploads/2015/12/Far-From-the-Madding-Crowd.pdf,335
Michael Sheen,Far from the Madding Crowd,Male,United Kingdom,William Boldwood,http://la-screenwriter.com/wp-content/uploads/2015/12/Far-From-the-Madding-Crowd.pdf,198
Rebel Wilson,Pitch Perfect 2,Female,Australia,Fat Amy,http://screenplays15.universalpictures.com/pitchperfect2/Pitch_Perfect2_Screenplay.pdf,227
Jacob Tremblay,Room,Male,Canada,Jack,http://www.dailyscript.com/scripts/room_script.pdf,736
Emily Blunt,Sicario,Female,United Kingdom,Kate Macer,https://indiegroundfilms.files.wordpress.com/2014/01/sicario-by-taylor-sheridan.pdf,26
Rachel Mcadams,Spotlight,Female,Canada,Sacha Pfeiffer,https://s3.amazo0ws.com/thescriptlab/screenplays/2015/Spotlight-Fi0l-Script.pdf,
Daisy Ridley,Star Wars: The Force Awakens,Female,United Kingdom,Rey,http://www.imsdb.com/scripts/Star-Wars-The-Force-Awakens.html,447
John Boyega,Star Wars: The Force Awakens,Male,United Kingdom,Finn,http://www.imsdb.com/scripts/Star-Wars-The-Force-Awakens.html,414
Oscar Isaac,Star Wars: The Force Awakens,Male,Guatemala,Poe Dameron,http://www.imsdb.com/scripts/Star-Wars-The-Force-Awakens.html,174
Kate Winslet,Steve Jobs,Female,United Kingdom,Joanna Hoffman,http://screenplays15.universalpictures.com/stevejobs/Steve_Jobs_Screenplay.pdf,369
Seth Rogen,Steve Jobs,Male,Canada,Steve Wozniak,http://screenplays15.universalpictures.com/stevejobs/Steve_Jobs_Screenplay.pdf,891
Christian Bale,The Big Short,Male,United Kingdom,Michael Burry,http://www.paramountguilds.com/pdf/the-big-short.pdf,115
Ryan Gosling,The Big Short,Male,Canada,Jared Vennett,http://www.paramountguilds.com/pdf/the-big-short.pdf,98
Eddie Redmayne,The Danish Girl,Male,United Kingdom,Lili,http://focusguilds2015.com/workspace/media/dg-fi0lversion.pdf,379
Bill Melendez,The Peanuts Movie,Male,Mexico,Snoopy /              Woodstock,http://transcripts.wikia.com/wiki/The_Peanuts_Movie,102
Tom Hardy,The Revenant,Male,United Kingdom,John Fitzgerald,http://screenplayexplorer.com/wp-content/scripts/The-Reve0nt.pdf,352
Will Poulter,The Revenant,Male,United Kingdom,Bridger,http://screenplayexplorer.com/wp-content/scripts/The-Reve0nt.pdf,211
Mila Kunis,Bad Moms,Female,Ukraine,Amy,http://www.la-screenwriter.com/wp-content/uploads/2017/04/Bad-Moms.pdf,837
Gemma Jones,Bridget Jones's Baby,Female,United Kingdom,Mum,http://www.universalpicturesawards.com/site-content/uploads/2016/09/BRIDGET-JONESS-BABY-Screenplay.pdf,75
Jim Broadbent,Bridget Jones's Baby,Male,United Kingdom,Dad,http://www.universalpicturesawards.com/site-content/uploads/2016/09/BRIDGET-JONESS-BABY-Screenplay.pdf,41
Morena Baccarin,Deadpool,Female,Brazil,Vanessa,http://s3.foxmovies.com/foxmovies/production/films/103/assets/deadpool_screenplay.pdf-9383757494.pdf,203
Ryan Reynolds,Deadpool,Male,Canada,Wade /              Deadpool,http://s3.foxmovies.com/foxmovies/production/films/103/assets/deadpool_screenplay.pdf-9383757494.pdf,460
Felicity Jones,Inferno,Female,United Kingdom,Sienna Brooks,https://wikileaks.org/sony/docs/03_03/Mktrsch/Market%20Research/Scripts/Inferno_62582.pdf,375
Irrfan Khan,Inferno,Male,India,Harry Sims,https://wikileaks.org/sony/docs/03_03/Mktrsch/Market%20Research/Scripts/Inferno_62582.pdf,21
Art Parkinson,Kubo and the Two Strings,Male,Ireland,Kubo       (voice),http://focusfeaturesguilds2016.com/workspace/uploads/screenplay/kubo_and_the_two_strings_awards-2016-fi0l.pdf,720
Charlize Theron,Kubo and the Two Strings,Female,South Africa,Monkey       (voice),http://focusfeaturesguilds2016.com/workspace/uploads/screenplay/kubo_and_the_two_strings_awards-2016-fi0l.pdf,367
Ryan Gosling,La La Land,Male,Canada,Sebastian,http://www.la-screenwriter.com/wp-content/uploads/2017/02/LA-LA-Land.pdf,570
Nia Vardalos,My Big Fat Greek Wedding 2,Female,Canada,Toula,http://www.universalpicturesawards.com/site-content/uploads/2016/09/MY-BIG-FAT-GREEK-WEDDING-2-Screenplay-1.pdf,430
Emily Blunt,The Girl on the Train,Female,United Kingdom,Rachel,http://la-screenwriter.com/wp-content/uploads/2017/01/THE-GIRL-ON-THE-TRAIN-Screenplay.pdf,708
Rebecca Ferguson,The Girl on the Train,Female,Sweden,Anna,http://la-screenwriter.com/wp-content/uploads/2017/01/THE-GIRL-ON-THE-TRAIN-Screenplay.pdf,263
James Mcavoy,X-Men: Apocalypse,Male,United Kingdom,Professor Charles Xavier,http://transcripts.wikia.com/wiki/X-Men:_Apocalypse,140
Idris Elba,Zootopia,Male,United Kingdom,Chief Bogo       (voice),https://www.scriptdelivery.net/source/resources/screenplays/zootopia.pdf,97
Charlize Theron,Atomic Blonde,Female,South Africa,Lorraine Broughton,https://drive.google.com/file/d/0B2LIeOFHsKVtOC1TMFB5SlZnbFE/view,5
James Mcavoy,Atomic Blonde,Male,United Kingdom,David Percival,https://drive.google.com/file/d/0B2LIeOFHsKVtOC1TMFB5SlZnbFE/view,13
Dan Stevens,Beauty and the Beast,Male,United Kingdom,Beast,http://www.waltdisneystudiosawards.com/media/scripts/beauty_and_the_beast.pdf,302
Emma Watson,Beauty and the Beast,Female,France,Belle,http://www.waltdisneystudiosawards.com/media/scripts/beauty_and_the_beast.pdf,467
Luke Evans,Beauty and the Beast,Male,United Kingdom,Gaston,http://www.waltdisneystudiosawards.com/media/scripts/beauty_and_the_beast.pdf,227
Mark Rylance,Dunkirk,Male,United Kingdom,Mr. Dawson,https://drive.google.com/file/d/0B7O8fCDoB--wdXZFcjRPTlc0UFU/view,110
Hugh Jackman,Logan,Male,Australia,Logan /              X-24,https://dl.dropboxusercontent.com/content_link/LqmpBtXckyn516MBMS4VcTB7qBXWFeDZ822d4SFFmtMPZan38NfQF1Q4o77bVqgi/file,880
Patrick Stewart,Logan,Male,United Kingdom,Charles,https://dl.dropboxusercontent.com/content_link/LqmpBtXckyn516MBMS4VcTB7qBXWFeDZ822d4SFFmtMPZan38NfQF1Q4o77bVqgi/file,265
Kumail Nanjiani,The Big Sick,Male,Pakistan,Kumail,http://www.la-screenwriter.com/wp-content/uploads/2017/11/BIG-SICK_fi0l-script_for-academy.pdf,727
Tilda Swinton,The Curious Case of Benjamin Button,Female,United Kingdom,Elizabeth Abbott,"http://www.imsdb.com/scripts/Curious-Case-of-Benjamin-Button,-The.html",85
Robert Pattinson,Twilight,Male,United Kingdom,Edward Cullen,"http://pu.i.wp.pl/k,NTUyNTc5NjEsODUzNjM0,f,Twilight3.pdf",423
Colin Farrell,Crazy Heart,Male,Ireland,Tommy Sweet,http://www.pages.drexel.edu/~i022/splaylib/Screenplay-Crazy_Heart.pdf,
Sam Neill,Daybreakers,Male,Ireland,Charles Bromley,http://www.joblo.com/scripts/Daybreakers.pdf,
Javier Bardem,Eat Pray Love,Male,Spain,Felipe,https://www.scribd.com/doc/59368253/Script-Eat-Pray-Love,
Jason Isaacs,Green Zone,Male,United Kingdom,Major Briggs,http://www.joblo.com/scripts/Green%20Zone.pdf,
Liam Neeson,The Next Three Days,Male,United Kingdom,Damon Pennington,http://screenplayexplorer.com/wp-content/scripts/The-Next-Three-Days.pdf,39
Rose Byrne,Bridesmaids,Female,USA,Helen,http://www.imsdb.com/scripts/Bridesmaids.html,244
Amy Adams,The Master,Female,Australia,Peggy Dodd,"http://www.imsdb.com/scripts/Master,-The.html",1
Emma Watson,The Perks of Being a Wallflower,Female,United Kingdom,Sam,http://www.pages.drexel.edu/~i022/splaylib/Screenplay-Perks_of_Being_a_Wallflower.pdf,326
Carey Mulligan,The Great Gatsby,Female,United Kingdom,Daisy,https://stephenfollows.com/resource-docs/scripts/greatgatsby_sp.pdf,362
Tim Roth,Selma,Male,United Kingdom,George Wallace,https://static1.squarespace.com/static/507f8be284aebdcd9b934b27/t/56ad4f9b1d07c0f90b2b3c70/1454198770668/SELMA-02.02.14-Paul-Webb-and-Ava-DuVer0y.pdf,18
Ian Mckellen,X-Men: Days of Future Past,Male,United Kingdom,Xavier,http://transcripts.wikia.com/wiki/X-Men:_Days_of_Future_Past,257
Patrick Stewart,X-Men: Days of Future Past,Male,United Kingdom,Erik,http://transcripts.wikia.com/wiki/X-Men:_Days_of_Future_Past,175
Dev Patel,Lion,Male,India,Saroo,http://la-screenwriter.com/wp-content/uploads/2016/12/LION_Script_wCover_R31.pdf,897
Seth Rogen,Sausage Party,Male,Canada,Frank,https://wikileaks.org/sony/docs/03_03/Mktrsch/Market%20Research/Scripts/Sausage%20Party.pdf,
