Actor,Movies,Gender,Country,Role,url,NumLines
Matthew Goode,Leap Year,Male,United Kingdom,Declan,http://www.joblo.com/scripts/Leap%20Year.pdf,485
Kevin Mckidd,Percy Jackson & the Olympians: The Lightning Thief,Male,United Kingdom,Poseidon,http://screenplayexplorer.com/wp-content/scripts/The_Lightning_Thief.pdf,
Steve Coogan,Percy Jackson & the Olympians: The Lightning Thief,Male,United Kingdom,Hades,http://screenplayexplorer.com/wp-content/scripts/The_Lightning_Thief.pdf,
Ben Kingsley,Prince of Persia: The Sands of Time,Male,United Kingdom,Nizam,http://www.dailyscript.com/scripts/GetHimToTheGreek.pdf,241
Gemma Arterton,Prince of Persia: The Sands of Time,Female,United Kingdom,Tamina,http://www.dailyscript.com/scripts/GetHimToTheGreek.pdf,449
Milla Jovovich,Resident Evil: Afterlife,Female,Ukraine,Alice,http://screenplayexplorer.com/wp-content/scripts/Resident-Evil-Extinction.pdf,
Wentworth Miller,Resident Evil: Afterlife,Male,United Kingdom,Chris Redfield,http://screenplayexplorer.com/wp-content/scripts/Resident-Evil-Extinction.pdf,
Chiwetel Ejiofor,Salt,Male,United Kingdom,Peabody,http://www.joblo.com/scripts/Salt.pdf,138
Michael Cera,Scott Pilgrim vs. the World,Male,Canada,Scott Pilgrim,http://www.imsdb.com/scripts/Scott-Pilgrim-vs-the-World.html,923
Alice Eve,She's Out of My League,Female,United Kingdom,Molly,http://www.imsdb.com/scripts/She's-Out-of-My-League.html,357
Jay Baruchel,She's Out of My League,Male,Canada,Kirk,http://www.imsdb.com/scripts/She's-Out-of-My-League.html,789
Emily Mortimer,Shutter Island,Female,United Kingdom,Rachel 1,http://www.joblo.com/scripts/Shutter%20Island.pdf,
Liam Neeson,The A-Team,Male,United Kingdom,Hannibal,http://www.joblo.com/scripts/The%20A-Team.pdf,
Sharlto Copley,The A-Team,Male,South Africa,Murdock,http://www.joblo.com/scripts/The%20A-Team.pdf,
Paolo Bonacelli,The American,Male,Italy,Father Benedetto,"http://www.pages.drexel.edu/~i022/splaylib/Screenplay-American,_The.pdf",107
Violante Placido,The American,Female,Italy,Clara,"http://www.pages.drexel.edu/~i022/splaylib/Screenplay-American,_The.pdf",225
