Movie,Actor,Character,Gender,Country
Anchorman 2: The Legend Continues,Greg Kinnear,Gary,Male,USA
Anchorman 2: The Legend Continues,Harrison Ford,Mack Tannen,Male,USA
Anchorman 2: The Legend Continues,James Marsden,Jack Lime,Male,USA
Anchorman 2: The Legend Continues,Josh Lawson,Kench Allenby,Male,Australia
Anchorman 2: The Legend Continues,Judah Nelson,Walter Burgundy,Male,None
Anchorman 2: The Legend Continues,Paul Rudd,Brian Fantana,Male,USA
Anchorman 2: The Legend Continues,Steve Carell,Brick Tamland,Male,USA
Anchorman 2: The Legend Continues,Will Ferrell,Ron Burgundy,Male,USA
And So It Goes,Annie Parisse,Kate,Female,USA
And So It Goes,Diane Keaton,Leah,Female,USA
And So It Goes,Frances Sternhagen,Claire,Female,USA
And So It Goes,Sterling Jerins,Sarah,Female,USA
And So It Goes,Yaya Dacosta,Kennedy       (as Yaya Alafia),Female,USA
And So It Goes,Andy Karl,Ted,Male,None
And So It Goes,Austin Lysy,Kyle,Male,USA
And So It Goes,Frankie Valli,Club Owner,Male,USA
And So It Goes,Luke Robertson,Jason,Male,None
And So It Goes,Maurice Jones,Ray,Male,None
And So It Goes,Maxwell Simkins,Caleb,Male,USA
And So It Goes,Michael Douglas,Oren Little,Male,USA
And So It Goes,Michael Terra,Peter,Male,None
And So It Goes,Sawyer Simpkins,Dylan,Male,None
And So It Goes,Scott Shepherd,Luke,Male,None
Angels & Demons,Ayelet Zurer,Vittoria Vetra,Female,Israel
Angels & Demons,Armin Mueller-Stahl,Cardinal Strauss,Male,Russia
Angels & Demons,Bob Yerkes,Cardinal Guidera,Male,USA
Angels & Demons,Cosimo Fusco,Father Simeon,Male,Italy
Angels & Demons,Curt Lowens,Cardinal Ebner,Male,Poland
Angels & Demons,David Pasquesi,Claudio Vincenzi,Male,None
Angels & Demons,Ewan Mcgregor,Camerlengo Patrick McKenna,Male,UK
Angels & Demons,Franklin Amobi,Cardinal Lamasse,Male,None
Angels & Demons,Marc Fiorini,Cardinal Baggia       (as Marco Fiorini),Male,None
Angels & Demons,Nikolaj Lie Kaas,Assassin,Male,None
Angels & Demons,Pierfrancesco Favino,Inspector Olivetti,Male,Italy
Angels & Demons,Stellan Skarsgard,Commander Richter,Male,None
Angels & Demons,Thure Lindhardt,Chartrand,Male,Denmark
Angels & Demons,Tom Hanks,Robert Langdon,Male,USA
Angels & Demons,Victor Alfieri,Lieutenant Valenti,Male,Italy
Angry Birds,Kate Mckinnon,Stella /              Eva the Birthday Mom       (voice),Female,USA
Angry Birds,Maya Rudolph,Matilda       (voice),Female,USA
Angry Birds,Anthony Padilla,Hal       (voice),Male,USA
Angry Birds,Bill Hader,Leonard       (voice),Male,USA
Angry Birds,Danny Mcbride,Bomb       (voice),Male,USA
Angry Birds,Hannibal Buress,Edward the Birthday Dad       (voice),Male,USA
Angry Birds,Ian Hecox,Bubbles       (voice),Male,USA
Angry Birds,Ike Barinholtz,Tiny       (voice),Male,USA
Angry Birds,Jason Sudeikis,Red       (voice),Male,USA
Angry Birds,Josh Gad,Chuck       (voice),Male,USA
Angry Birds,Keegan-Michael Key,Judge Peckinpah       (voice),Male,USA
Angry Birds,Peter Dinklage,Mighty Eagle       (voice),Male,USA
Angry Birds,Sean Penn,Terence       (voice),Male,USA
Angry Birds,Tituss Burgess,Photog       (voice),Male,USA
Angry Birds,Tony Hale,Ross /              Cyrus /              Mime       (voice),Male,USA
Annabelle,Alfre Woodard,Evelyn,Female,USA
Annabelle,Annabelle Wallis,Mia,Female,UK
Annabelle,Camden Singer,Clerk,Female,None
Annabelle,Keira Daniels,Annabelle Higgins at age 7,Female,None
Annabelle,Kerry O'Malley,Sharon Higgins,Female,USA
Annabelle,Robin Pearson Rose,Mother,Female,None
Annabelle,Sasha Sheldon,Nurse,Female,None
Annabelle,Shiloh Nelson,Nancy,Female,None
Annabelle,Brian Howe,Pete Higgins,Male,None
Annabelle,Eric Ladin,Detective Clarkin,Male,USA
Annabelle,Gabriel Bateman,Robert,Male,None
Annabelle,Geoff Wehner,Neighbor,Male,None
Annabelle,Ivar Brogger,Dr. Burgher,Male,USA
Annabelle,Tony Amendola,Father Perez,Male,USA
Annabelle,Ward Horton,John Form,Male,USA
Annabelle: Creation,Alicia Vela-Bailey,Evil Mullins /              Demon Hands,Female,USA
Annabelle: Creation,Grace Fulton,Carol,Female,USA
Annabelle: Creation,Lotta Losten,Adoption Agent,Female,Sweden
Annabelle: Creation,Lou Lou Safran,Tierney,Female,None
Annabelle: Creation,Lulu Wilson,Linda,Female,None
Annabelle: Creation,Miranda Otto,Esther Mullins,Female,Australia
Annabelle: Creation,Philippa Coulthard,Nancy,Female,None
Annabelle: Creation,Samara Lee,Bee,Female,None
Annabelle: Creation,Stephanie Sigman,Sister Charlotte,Female,Mexico
Annabelle: Creation,Talitha Eliana Bateman,Janice       (as Talitha Bateman),Female,None
Annabelle: Creation,Joseph Bishara,Annabelle Demon,male,None
Annabelle: Creation,Anthony Lapaglia,Samuel Mullins,Male,Australia
Annabelle: Creation,Brad Greenquist,Victor Palmeri,Male,None
Annabelle: Creation,Mark Bramhall,Father Massey,Male,None
Annabelle: Creation,Tayler Buck,Kate,Male,USA
Annie,Amanda Troya,Pepper,Female,None
Annie,Cameron Diaz,Hannigan,Female,USA
Annie,Eden Duncan-Smith,Isabella,Female,None
Annie,Nicolette Pierini,Mia,Female,USA
Annie,Quvenzhane Wallis,Annie,Female,USA
Annie,Rose Byrne,Grace,Female,Australia
Annie,Stephanie Kurtzuba,Mrs. Kovacevic,Female,None
Annie,Tracie Thoms,"Annie's ""Mom""",Female,USA
Annie,Zoe Margaret Colletti,Tessie,Female,None
Annie,Adewale Akinnuoye-Agbaje,Nash,Male,UK
Annie,Bobby Cannavale,Guy,Male,USA
Annie,David Zayas,Lou,Male,Puerto Rico
Annie,Dorian Missick,"Annie's ""Dad""",Male,USA
Annie,Jamie Foxx,Will Stacks,Male,USA
Annie,Mike Birbiglia,Social Services Inspector,Male,USA
Ant-Man,Abby Ryder Fortson,Cassie Lang,Female,None
Ant-Man,Evangeline Lilly,Hope van Dyne,Female,Canada
Ant-Man,Hayley Atwell,Peggy Carter,Female,UK
Ant-Man,Judy Greer,Maggie Lang,Female,USA
Ant-Man,Anthony Mackie,Sam Wilson /              Falcon,Male,USA
Ant-Man,Bobby Cannavale,Paxton,Male,USA
Ant-Man,Corey Stoll,Darren Cross /              Yellowjacket,Male,USA
Ant-Man,David Dastmalchian,Kurt,Male,USA
Ant-Man,John Slattery,Howard Stark,Male,USA
Ant-Man,Martin Donovan,Mitchell Carson,Male,USA
Ant-Man,Michael Douglas,Dr. Hank Pym,Male,USA
Ant-Man,Michael Pena,Luis,Male,USA
Ant-Man,Paul Rudd,Scott Lang /              Ant-Man,Male,USA
Ant-Man,T.I.,Dave       (as Tip 'T.I.' Harris),Male,USA
Ant-Man,Wood Harris,Gale,Male,USA
Apollo 18,Ali Liebert,Nate's Girlfriend,Female,Canada
Apollo 18,Erica Carroll,John's Fiancee,Female,None
Apollo 18,Kim Wylie,Laura Anderson,Female,None
Apollo 18,Andrew Airlie,Mission Control       (voice),Male,UK
Apollo 18,Jan Bos,Lab Tech #2       (voice),Male,UK
Apollo 18,Kurt Max Runte,Lab Tech #1       (as Kurt Runte),Male,None
Apollo 18,Lloyd Owen,Nate,Male,UK
Apollo 18,Michael Kopsa,Deputy Secretary of Defense       (as Mike Kopsa),Male,Canada
Apollo 18,Noah Wylie,Ryan Anderson,Male,USA
Apollo 18,Ryan Robbins,John Grey,Male,Canada
Apollo 18,Warren Christie,Ben Anderson,Male,UK
Appaloosa,Cerris Morgan-Moyer,Tilda,Female,UK
Appaloosa,Benjamin Rosenshein,Town Boy,Male,None
Appaloosa,Boyd Kestner,Bronc,Male,USA
Appaloosa,Ed Harris,Virgil Cole,Male,USA
Appaloosa,Erik J. Bockemeier,Fat Wallis,Male,None
Appaloosa,Gabriel Marantz,Joe Whittfield,Male,None
Appaloosa,James Gammon,Earl May,Male,USA
Appaloosa,James Tarwater,Chalk       (as Jim Tarwater),Male,USA
Appaloosa,Jeremy Irons,Randall Bragg,Male,UK
Appaloosa,Luce Rains,Dean,Male,USA
Appaloosa,Robert Jauregui,Marshall Jack Bell       (as Bobby Jauregui),Male,None
Appaloosa,Timothy Spall,Phil Olson,Male,UK
Appaloosa,Timothy V. Murphy,Vince,Male,None
Appaloosa,Tom Bower,Abner Raines,Male,USA
Appaloosa,Viggo Mortensen,Everett Hitch,Male,USA
Arbitrage,Brit Marling,Brooke Miller,Female,USA
Arbitrage,Laetitia Casta,Julie C&#244;te,Female,France
Arbitrage,Susan Sarandon,Ellen Miller,Female,USA
Arbitrage,Bruce Altman,Chris Vogler,Male,USA
Arbitrage,Chris Eigeman,Gavin Briar,Male,USA
Arbitrage,Curtiss Cook,Det. Mills,Male,USA
Arbitrage,Felix Solis,A.D.A. Ray Deferlito,Male,USA
Arbitrage,Graydon Carter,James Mayfield,Male,Canada
Arbitrage,Larry Pine,Jeffrey Greenberg,Male,USA
Arbitrage,Nate Parker,Jimmy Grant,Male,USA
Arbitrage,Reg E. Cathey,Earl Monroe,Male,USA
Arbitrage,Richard Gere,Robert Miller,Male,USA
Arbitrage,Stuart Margolin,Syd Felder,Male,USA
Arbitrage,Tibor Feldman,Judge Rittenband,Male,None
Arbitrage,Tim Roth,Det. Michael Bryer,Male,UK
Are We Done Yet?,Aleisha Allen,Lindsey Persons,Female,USA
Are We Done Yet?,Brenda Prieur,Grandma Pulu,Female,None
Are We Done Yet?,Linda Kash,Mrs. Rooney,Female,Canada
Are We Done Yet?,Nia Long,Suzanne Persons,Female,USA
Are We Done Yet?,Alexander Kalugin,Russian Contractor,Male,None
Are We Done Yet?,Colin Strange,Persons' Twins,Male,None
Are We Done Yet?,Dan Joffre,Billy Pulu,Male,Canada
Are We Done Yet?,Hayes Macarthur,Jimmy the Bartender,Male,USA
Are We Done Yet?,Ice Cube,Nick Persons,Male,USA
Are We Done Yet?,Jacob Vargas,Mike the Plumber,Male,Mexico
Are We Done Yet?,John C. Mcginley,"Chuck Mitchell, Jr.",Male,USA
Are We Done Yet?,Jonathan Katz,Mr. Rooney,Male,USA
Are We Done Yet?,Pedro Miguel Arce,Georgie Pulu,Male,Nicaragua
Are We Done Yet?,Philip Bolden,Kevin Persons       (as Philip Daniel Bolden),Male,USA
Are We Done Yet?,Tahj Mowry,Danny Pulu,Male,USA
Argo,Clea Duvall,Cora Lijek,Female,USA
Argo,Kerry Bish E,Kathy Stafford,Female,None
Argo,Alan Arkin,Lester Siegel,Male,USA
Argo,Ben Affleck,Tony Mendez,Male,USA
Argo,Bryan Cranston,Jack O'Donnell,Male,USA
Argo,Chris Messina,Malinov,Male,USA
Argo,Christopher Denham,Mark Lijek,Male,None
Argo,John Goodman,John Chambers,Male,USA
Argo,Kyle Chandler,Hamilton Jordan,Male,USA
Argo,Rory Cochrane,Lee Schatz,Male,USA
Argo,Scoot Mcnairy,Joe Stafford,Male,USA
Argo,Tate Donovan,Bob Anders,Male,USA
Argo,Titus Welliver,Bates,Male,USA
Argo,Victor Garber,Ken Taylor,Male,Canada
Argo,Zeljko Ivanek,Robert Pender,Male,Slovenia
Armored,Lorna Raver,Child Welfare Agent,Female,USA
Armored,Amaury Nolasco,Palmer,Male,Puerto Rico
Armored,Andre Kinney,Jimmy Hackett       (as Andre Jamal Kinney),Male,USA
Armored,Andrew Fiscella,Dispatcher #1,Male,None
Armored,Columbus Short,Ty Hackett,Male,USA
Armored,Fred Ward,Duncan Ashcroft,Male,USA
Armored,Garry Guerrier,Federal Guard,Male,USA
Armored,Glenn Taranto,Joe the Cook,Male,USA
Armored,Jean Reno,Quinn,Male,Morocco
Armored,Laurence Fishburne,Baines,Male,USA
Armored,Matt Dillon,Mike Cochrane,Male,USA
Armored,Milo Ventimiglia,Eckehart,Male,USA
Armored,Nick Jameson,Homeless Man,Male,USA
Armored,Robert Harvey,Bank Guard,Male,USA
Armored,Skeet Ulrich,Dobbs,Male,USA
Arrival,Abigail Pniowsky,8-Year-Old-Hannah,Female,None
Arrival,Amy Adams,Louise Banks,Female,Italy
Arrival,Jadyn Malone,6-Year-Old-Hannah,Female,None
Arrival,Julia Scarlett Dan,12-Year-Old-Hannah,Female,None
Arrival,Lucy Van Oldenbarneveld,CNAC Anchor,Female,None
Arrival,Andrew Shaver,Environmental Tech,Male,None
Arrival,Christian Jadah,Private Combs,Male,None
Arrival,Forest Whitaker,Colonel Weber,Male,USA
Arrival,Frank Schorpion,Dr. Kettler,Male,Canada
Arrival,Jeremy Renner,Ian Donnelly,Male,USA
Arrival,Lucas Chartier-Dessert,Private Lasky,Male,None
Arrival,Mark O'Brien,Captain Marks,Male,Canada
Arrival,Michael Stuhlbarg,Agent Halpern,Male,USA
Arrival,Pat Kiely,Environmental Tech,Male,None
Arrival,Tzi Ma,General Shang,Male,China
Arthur,Christina Jacquelyn Calph,Tiffany       (as Christina Calph),Female,USA
Arthur,Geraldine James,Vivienne,Female,UK
Arthur,Greta Gerwig,Naomi,Female,USA
Arthur,Helen Mirren,Hobson,Female,UK
Arthur,Jennifer Garner,Susan,Female,USA
Arthur,Evander Holyfield,Boxing Trainer,Male,USA
Arthur,John Hodgman,Candy Store Manager,Male,USA
Arthur,Jos E Ramin Rosario,Employment Clerk,Male,None
Arthur,Luis Guzman,Bitterman,Male,Puerto Rico
Arthur,Murphy Guyer,Officer Kaplan,Male,USA
Arthur,Nick Nolte,Burt Johnson,Male,USA
Arthur,Peter Van Wagner,Naomi's Dad,Male,None
Arthur,Robert Clohessy,Veteran Cop,Male,USA
Arthur,Russell Brand,Arthur,Male,UK
Arthur,Scott Adsit,Gummy Bear Man,Male,USA
Arthur Christmas,Ashley Jensen,Bryony       (voice),Female,UK
Arthur Christmas,Eva Longoria,Chief De Silva       (voice),Female,USA
Arthur Christmas,Imelda Staunton,Mrs Santa       (voice),Female,UK
Arthur Christmas,Joan Cusack,Lead Elf       (voice),Female,USA
Arthur Christmas,Laura Linney,North Pole Computer       (voice),Female,USA
Arthur Christmas,Ramona Marquez,Gwen       (voice),Female,UK
Arthur Christmas,Bill Nighy,Grandsanta       (voice),Male,UK
Arthur Christmas,Hugh Laurie,Steve       (voice),Male,UK
Arthur Christmas,James Mcavoy,Arthur       (voice),Male,UK
Arthur Christmas,Jim Broadbent,Santa       (voice),Male,UK
Arthur Christmas,Marc Wootton,Peter       (voice),Male,UK
Arthur Christmas,Michael Palin,Ernie Clicker       (voice),Male,UK
Arthur Christmas,Rhys Darby,Lead Elf       (voice),Male,New Zealand
Arthur Christmas,Robbie Coltrane,Lead Elf       (voice),Male,UK
Arthur Christmas,Sanjeev Bhaskar,Lead Elf       (voice),Male,UK
"As Above, So Below",Emy L Evy,Tour Guide       (as Emy Levy),Female,None
"As Above, So Below",Hellyette Bess,Strange Old Woman,Female,None
"As Above, So Below",Marion Lambert,Souxie,Female,None
"As Above, So Below",Olivia Csiky Trnka,Strange Young Woman,Female,None
"As Above, So Below",Perdita Weeks,Scarlett,Female,UK
"As Above, So Below",Ali Marhyar,Zed,Male,None
"As Above, So Below",Aryan Rahimian,Iranian Armed Guard,Male,None
"As Above, So Below",Ben Feldman,George,Male,USA
"As Above, So Below",Cosme Castro,La Taupe,Male,France
"As Above, So Below",Edwin Hodge,Benji,Male,USA
"As Above, So Below",Franiois Civil,Papillon,Male,France
"As Above, So Below",Hamid Djavadan,Reza       (as Hamidreza Javdan),Male,None
"As Above, So Below",Roger Van Hool,Scarlett's Father,Male,Belgium
"As Above, So Below",Samuel Aouizerate,Danny,Male,None
"As Above, So Below",Th Eo Cholbi,Gloomy Teenager,Male,None
Assassin's Creed,Ariane Labed,Maria,Female,Greece
Assassin's Creed,Charlotte Rampling,Ellen Kaye,Female,UK
Assassin's Creed,Essie Davis,Cal's Mother,Female,Australia
Assassin's Creed,Marion Cotillard,Sofia,Female,France
Assassin's Creed,Brendan Gleeson,Joseph Lynch,Male,Ireland
Assassin's Creed,Callum Turner,Nathan,Male,None
Assassin's Creed,Carlos Bardem,Benedicto,Male,Spain
Assassin's Creed,Denis M Enochet,McGowan       (as Denis Menochet),Male,France
Assassin's Creed,Hovik Keuchkerian,Ojeda,Male,Lebanon
Assassin's Creed,Javier Guti Errez,Torquemada,Male,Spain
Assassin's Creed,Jeremy Irons,Rikkin,Male,UK
Assassin's Creed,Khalid Abdalla,Sultan Muhammad XII,Male,UK
Assassin's Creed,Matias Varela,Emir,Male,None
Assassin's Creed,Michael Fassbender,Cal Lynch /              Aguilar,Male,None
Assassin's Creed,Michael Kenneth Williams,Moussa       (as Michael K. Williams),Male,USA
Astro Boy,Charlize Theron,'Our Friends' Narrator       (voice),Female,South Africa
Astro Boy,Kristen Bell,Cora       (voice),Female,USA
Astro Boy,Bob Logan,Stinger One       (voice),male,None
Astro Boy,Alan Tudyk,Mr. Squeegee /              Scrapheap Head /              Stinger Two       (voice),Male,USA
Astro Boy,Bill Nighy,Dr. Elefun /              Robotsky       (voice),Male,UK
Astro Boy,David Alan Grier,Mr. Squirt /              Math Cowboy /              Boxer Robot       (voice),Male,USA
Astro Boy,Dee Bradley Baker,Trashcan       (voice),Male,USA
Astro Boy,Donald Sutherland,President Stone       (voice),Male,Canada
Astro Boy,Eugene Levy,Orrin       (voice),Male,Canada
Astro Boy,Freddie Highmore,Astro /              Toby       (voice),Male,UK
Astro Boy,Moises Arias,Zane       (voice),Male,USA
Astro Boy,Newell Alexander,General Heckler       (voice),Male,USA
Astro Boy,Nicolas Cage,Dr. Tenma       (voice),Male,USA
Astro Boy,Ryan Stiles,Mr. Moustachio /              Burning Robot       (voice),Male,USA
Astro Boy,Sterling Beaumon,Sludge       (voice),Male,USA
Atomic Blonde,Barbara Sukowa,Coroner,Female,Germany
Atomic Blonde,Charlize Theron,Lorraine Broughton,Female,South Africa
Atomic Blonde,Sofia Boutella,Delphine Lasalle,Female,Algeria
Atomic Blonde,Attila C. Arpa,East German Guard #1       (as Attila Arpa),Male,Germany
Atomic Blonde,Bill Skarsgard,Merkel,Male,None
Atomic Blonde,Eddie Marsan,Spyglass,Male,UK
Atomic Blonde,James Faulkner,Chief 'C',Male,UK
Atomic Blonde,James Mcavoy,David Percival,Male,UK
Atomic Blonde,Jihannes Haukur Jihannesson,Yuri Bakhtin       (as J&#243;hannes J&#243;hannesson),Male,None
Atomic Blonde,John Goodman,Emmett Kurzfeld,Male,USA
Atomic Blonde,Martin Angerbauer,East German Guard #2,Male,None
Atomic Blonde,Roland Moller,Aleksander Bremovych,Male,None
Atomic Blonde,Sam Hargrave,James Gasciogne,Male,None
Atomic Blonde,Til Schweiger,Watchmaker,Male,None
Atomic Blonde,Toby Jones,Eric Gray,Male,UK
Atonement,Ailidh Mackay,Singing Housemaid,Female,None
Atonement,Brenda Blethyn,Grace Turner,Female,UK
Atonement,Harriet Walter,Emily Tallis,Female,UK
Atonement,Julia West,Betty,Female,None
Atonement,Juno Temple,Lola Quincey,Female,UK
Atonement,Keira Knightley,Cecilia Tallis,Female,UK
Atonement,Saoirse Ronan,"Briony Tallis, aged 13",Female,USA
Atonement,Alfie Allen,Danny Hardman,Male,UK
Atonement,Benedict Cumberbatch,Paul Marshall,Male,UK
Atonement,Charlie Von Simson,Jackson Quincey       (as Charlie Von Simson),Male,None
Atonement,Felix Von Simson,Pierrot Quincey       (as Felix Von Simson),Male,None
Atonement,James Mcavoy,Robbie Turner,Male,UK
Atonement,Leander Deeny,Police Constable,Male,None
Atonement,Patrick Kennedy,Leon Tallis,Male,UK
Atonement,Peter Wight,Police Inspector,Male,UK
August Rush,Bonnie Mckee,Lizzy,Female,USA
August Rush,Jamia Simone Nash,Hope,Female,USA
August Rush,Keri Russell,Lyla Novacek,Female,USA
August Rush,Marian Seldes,The Dean,Female,USA
August Rush,Aaron Staton,Nick,Male,None
August Rush,Alex O'Loughlin,Marshall,Male,Australia
August Rush,Freddie Highmore,Evan Taylor - 'August Rush',Male,UK
August Rush,Jonathan Rhys Meyers,Louis Connelly,Male,Ireland
August Rush,Leon Thomas Iii,Arthur,Male,USA
August Rush,Michael Drayer,Mannix,Male,USA
August Rush,Mykelti Williamson,Reverend James,Male,USA
August Rush,Robin Williams,Maxwell 'Wizard' Wallace,Male,USA
August Rush,Ronald Guttman,Professor,Male,Belgium
August Rush,Terrence Howard,Richard Jeffries,Male,USA
August Rush,William Sadler,Thomas Novacek,Male,USA
August: Osage County,Abigail Breslin,Jean Fordham,Female,USA
August: Osage County,Julia Roberts,Barbara Weston,Female,USA
August: Osage County,Julianne Nicholson,Ivy Weston,Female,USA
August: Osage County,Juliette Lewis,Karen Weston,Female,USA
August: Osage County,Margo Martindale,Mattie Fae Aiken,Female,USA
August: Osage County,Meryl Streep,Violet Weston,Female,USA
August: Osage County,Misty Upham,Johnna Monevata,Female,USA
August: Osage County,Jerry Stahl,Liquor Store Owner,male,USA
August: Osage County,Benedict Cumberbatch,Little Charles Aiken,Male,UK
August: Osage County,Chris Cooper,Charlie Aiken,Male,USA
August: Osage County,Dermot Mulroney,Steve Huberbrecht,Male,USA
August: Osage County,Ewan Mcgregor,Bill Fordham,Male,UK
August: Osage County,Newell Alexander,Dr. Burke,Male,USA
August: Osage County,Sam Shepard,Beverly Weston,Male,USA
August: Osage County,Will Coffey,Sheriff Deon Gilbeau,Male,None
Australia,Essie Davis,Cath Carney,Female,Australia
Australia,Lillian Crombie,Bandy Legs,Female,None
Australia,Michelle Dyzla,Hairdresser,Female,None
Australia,Rebecca Chatfield,Magarri's Niece,Female,None
Australia,Tara Carpenter,Essential Services Woman,Female,None
Australia,Arthur Dignam,Father Benedict,Male,Australia
Australia,Bryan Brown,King Carney,Male,Australia
Australia,Damian Bradford,Constable #1,Male,None
Australia,Eddie Baroo,Bull,Male,Australia
Australia,Jamal Sydney Bednarz,Mission Boy       (as Jamal Bednarz-Metallah),Male,None
Australia,Max Cullen,Old Drunk,Male,Australia
Australia,Nathin Butler,Carney Boy #1,Male,None
Australia,Ray Barrett,Ramsden,Male,Australia
Australia,Shea Adams,Carney Boy #3,Male,None
Australia,Tony Barry,Sergeant Callahan,Male,Australia
Avatar,Cch Pounder,Moat,Female,British Guiana
Avatar,Michelle Rodriguez,Trudy Chac&#243;n,Female,USA
Avatar,Sigourney Weaver,Dr. Grace Augustine,Female,USA
Avatar,Zoe Saldana,Neytiri       (as Zo&#235; Saldana),Female,USA
Avatar,Dileep Rao,Dr. Max Patel,Male,USA
Avatar,Giovanni Ribisi,Parker Selfridge,Male,USA
Avatar,Jason Whyte,Cryo Vault Med Tech,Male,None
Avatar,Joel David Moore,Norm Spellman,Male,USA
Avatar,Laz Alonso,Tsu'tey,Male,USA
Avatar,Matt Gerald,Corporal Lyle Wainfleet,Male,USA
Avatar,Sam Worthington,Jake Sully,Male,UK
Avatar,Scott Lawrence,Venture Star Crew Chief,Male,USA
Avatar,Sean Anthony Moran,Private Fike,Male,None
Avatar,Stephen Lang,Colonel Miles Quaritch,Male,USA
Avatar,Wes Studi,Eytukan,Male,USA
Avengers: Age of Ultron,Cobie Smulders,Maria Hill,Female,Canada
Avengers: Age of Ultron,Elizabeth Olsen,Wanda Maximoff /              Scarlet Witch,Female,USA
Avengers: Age of Ultron,Hayley Atwell,Peggy Carter,Female,UK
Avengers: Age of Ultron,Scarlett Johansson,Natasha Romanoff /              Black Widow,Female,USA
Avengers: Age of Ultron,Aaron Taylor-Johnson,Pietro Maximoff /              Quicksilver,Male,UK
Avengers: Age of Ultron,Anthony Mackie,Sam Wilson /              Falcon,Male,USA
Avengers: Age of Ultron,Chris Evans,Steve Rogers /              Captain America,Male,USA
Avengers: Age of Ultron,Chris Hemsworth,Thor,Male,Australia
Avengers: Age of Ultron,Don Cheadle,James Rhodes /              War Machine,Male,USA
Avengers: Age of Ultron,James Spader,Ultron,Male,USA
Avengers: Age of Ultron,Jeremy Renner,Clint Barton /              Hawkeye,Male,USA
Avengers: Age of Ultron,Mark Ruffalo,Bruce Banner /              Hulk,Male,USA
Avengers: Age of Ultron,Paul Bettany,Jarvis /              Vision,Male,UK
Avengers: Age of Ultron,Robert Downey Jr.,Tony Stark /              Iron Man,Male,USA
Avengers: Age of Ultron,Samuel L. Jackson,Nick Fury,Male,USA
Awake,Georgina Chapman,Penny Carver,Female,UK
Awake,Jessica Alba,Sam Lockwood,Female,USA
Awake,Lena Olin,Lilith Beresford,Female,None
Awake,Denis O'Hare,Financial News Analyst,male,None
Awake,Arliss Howard,Dr. Jonathan Neyer,Male,USA
Awake,Charlie Hewson,Brian the Orderly,Male,None
Awake,Christopher Mcdonald,Dr. Larry Lupin,Male,USA
Awake,Court Young,Officer Doherty,Male,USA
Awake,David Harbour,Dracula,Male,USA
Awake,Fisher Stevens,Dr. Puttnam,Male,USA
Awake,Hayden Christensen,Clay Beresford,Male,Canada
Awake,Joseph Costa,Dr. Elbogen,Male,None
Awake,Sam Robards,Clayton Beresford Sr.,Male,USA
Awake,Steven Hinkle,Young Clay       (as Stephen Hinkle),Male,USA
Awake,Terrence Howard,Dr. Jack Harper,Male,USA
Away We Go,Allison Janney,Lily,Female,USA
Away We Go,Carmen Ejogo,Grace,Female,UK
Away We Go,Catherine O'Hara,Gloria,Female,Canada
Away We Go,Maggie Gyllenhaal,LN,Female,USA
Away We Go,Maya Rudolph,Verona,Female,USA
Away We Go,Samantha Pryor,Ashley,Female,None
Away We Go,Bailey Harkins,Wolfie,Male,None
Away We Go,Brendan Spitz,Baby Neptune,Male,None
Away We Go,Chris Messina,Tom,Male,USA
Away We Go,Conor Carroll,Taylor,Male,USA
Away We Go,Jaden Spitz,Baby Neptune,Male,None
Away We Go,Jeff Daniels,Jerry,Male,USA
Away We Go,Jim Gaffigan,Lowell,Male,USA
Away We Go,John Krasinski,Burt,Male,USA
Away We Go,Josh Hamilton,Roderick,Male,USA
Baby Driver,Eiza Gonzalez,Darling,Female,Mexico
Baby Driver,Lily James,Debora,Female,UK
Baby Driver,Sky Ferreira,Baby's Mom,Female,USA
Baby Driver,Viviana Chavez,Diner Waitress,Female,None
Baby Driver,Ansel Elgort,Baby,Male,USA
Baby Driver,Cj Jones,Joseph,Male,USA
Baby Driver,Hal Whiteside,Cook,Male,None
Baby Driver,Hudson Meek,Young Baby,Male,None
Baby Driver,Jon Bernthal,Griff,Male,USA
Baby Driver,Jon Hamm,Buddy,Male,USA
Baby Driver,Kevin Spacey,Doc,Male,USA
Baby Driver,Lance Palmer,Baby's Dad,Male,None
Baby Driver,Micah Howard,Barista,Male,USA
Baby Driver,Morgan Brown,Street Preacher,Male,USA
Baby Driver,Morse Diggs,Morse Diggs,Male,None
Baby Mama,Amy Poehler,Angie,Female,USA
Baby Mama,Holland Taylor,Rose,Female,USA
Baby Mama,Maura Tierney,Caroline,Female,USA
Baby Mama,Sigourney Weaver,Chaffee Bicknell,Female,USA
Baby Mama,Tina Fey,Kate,Female,USA
Baby Mama,Denis O'Hare,Dr. Manheim,male,None
Baby Mama,Dax Shepard,Carl,Male,USA
Baby Mama,Fred Armisen,Stroller Salesman,Male,USA
Baby Mama,Greg Kinnear,Rob,Male,USA
Baby Mama,James Rebhorn,Judge,Male,USA
Baby Mama,Kevin Collins,Architect /              Rick,Male,USA
Baby Mama,Romany Malco,Oscar,Male,USA
Baby Mama,Stephen Mailer,Dan,Male,USA
Baby Mama,Steve Martin,Barry,Male,USA
Baby Mama,Will Forte,Scott,Male,USA
Bad Grandpa,Catherine Keener,Ellie,Female,USA
Bad Grandpa,Georgina Cates,Kimmie,Female,UK
Bad Grandpa,Grasie Mercedes,Hostess,Female,USA
Bad Grandpa,Jill Killington,Pageant Reporter       (as Jill Kill),Female,None
