Movie,Actor,Character,Gender,Country
1408,David Nicholson,Man #2 at Book Signing,male,USA
1408,Andrew Lee Potts,Mailbox Guy,Male,UK
1408,Drew Powell,Assistant Hotel Manager,Male,USA
1408,Eric Meyers,Man #1 at Book Signing,Male,None
1408,Johann Urb,Surfer Dude,Male,Estonia
1408,John Cusack,Mike Enslin,Male,USA
1408,Paul Birchard,Mr. Innkeeper,Male,None
1408,Tony Shalhoub,Sam Farrell,Male,USA
1408,Walter Lewis,Book Store Cashier,Male,USA
17 Again,Allison Miller,Scarlet (Teen),Female,Italy
17 Again,Kat Graham,Jamie       (as Katerina Graham),Female,Switzerland
17 Again,Leslie Mann,Scarlet,Female,USA
17 Again,Melissa Ordway,Lauren,Female,USA
17 Again,Melora Hardin,Principal Jane Masterson,Female,USA
17 Again,Michelle Trachtenberg,Maggie,Female,USA
17 Again,Tiya Sircar,Samantha,Female,USA
17 Again,Adam Gregory,Dom,Male,USA
17 Again,Hunter Parrish,Stan,Male,USA
17 Again,Mario Cassem,Samir,Male,None
17 Again,Matthew Perry,Mike O'Donnell (Adult),Male,USA
17 Again,Sterling Knight,Alex,Male,USA
17 Again,Thomas Lennon,Ned Gold,Male,USA
17 Again,Tyler Steelman,Ned Gold (Teen),Male,USA
17 Again,Zac Efron,Mike O'Donnell,Male,USA
2 Guns,Paula Patton,Deb,Female,USA
2 Guns,Bill Paxton,Earl,Male,USA
2 Guns,Christopher Matthew Cook,Thick       (as Matthew Cook),Male,None
2 Guns,Denzel Washington,Bobby,Male,USA
2 Guns,Derek Solorsano,Ferret Nose Julio,Male,None
2 Guns,Edgar Arreola,Rudy (Papi's Men),Male,None
2 Guns,Edward James Olmos,Papi Greco,Male,USA
2 Guns,Fred Ward,Admiral Tuwey,Male,USA
2 Guns,Greg Sproles,Chief Lucas,Male,None
2 Guns,James Marsden,Quince,Male,USA
2 Guns,Kyle Clements,Teemo       (as Kyle Russell Clements),Male,None
2 Guns,Mark Wahlberg,Stig,Male,USA
2 Guns,Patrick Fischler,Dr. Ken,Male,USA
2 Guns,Robert John Burke,Jessup,Male,USA
2 Guns,Tim Bell,Lean       (as Timothy Bell),Male,None
2012,Amanda Peet,Kate Curtis,Female,USA
2012,Beatrice Rosen,Tamara,Female,USA
2012,Morgan Lily,Lilly Curtis,Female,USA
2012,Thandie Newton,Laura Wilson,Female,UK
2012,Alexandre Haussmann,Alec,Male,None
2012,Chiwetel Ejiofor,Adrian Helmsley,Male,UK
2012,Danny Glover,President Thomas Wilson,Male,USA
2012,Johann Urb,Sasha,Male,Estonia
2012,John Cusack,Jackson Curtis,Male,USA
2012,Liam James,Noah Curtis,Male,Canada
2012,Oliver Platt,Carl Anheuser,Male,Canada
2012,Philippe Haussmann,Oleg,Male,None
2012,Tom Mccarthy,Gordon Silberman,Male,USA
2012,Woody Harrelson,Charlie Frost,Male,USA
2012,Zlatko Buric,Yuri Karpov,Male,Croatia
2016: Obama's America,Alice Dewey,Herself,female,None
2016: Obama's America,Paul Kengor,Himself,female,None
2016: Obama's America,Cait Brasel,Young Democrate,Female,USA
2016: Obama's America,Lisa Fox,Professor /              Administrator,Female,None
2016: Obama's America,Sarah Obama,Herself       (voice),Female,None
2016: Obama's America,Barack Obama,Himself       (archive footage),male,USA
2016: Obama's America,Dinesh D'Souza,Himself,male,India
2016: Obama's America,George Obama,Himself,male,None
2016: Obama's America,Jay Bastian,Himself,male,None
2016: Obama's America,Joseph Ojiru,Himself,male,None
2016: Obama's America,Philip Ochieng,Himself,male,None
2016: Obama's America,Willy Kauai,Himself,male,None
2016: Obama's America,Gene Burris Jr.,Stanford University College Student,Male,None
2016: Obama's America,Joe Biden,Himself       (archive footage),Male,USA
2016: Obama's America,Zackary Steven Graham,Dartmouth College Student,Male,USA
21,Donna Lows,Planet Hollywood Dealer,Female,None
21,Helen Carey,Ellen Campbell,Female,USA
21,Kate Bosworth,Jill,Female,USA
21,Liza Lapira,Kianna,Female,USA
21,Aaron Yoo,Choi,Male,USA
21,Ben Campbell,Planet Hollywood Dealer Jeff       (as Jeffrey Ma),Male,None
21,Butch Williams,Planet Hollywood Dealer,Male,None
21,Jack Gilpin,Bob Phillips,Male,USA
21,Jack Mcgee,Terry,Male,USA
21,Jacob Pitts,Fisher,Male,None
21,Jim Sturgess,Ben,Male,UK
21,Josh Gad,Miles,Male,USA
21,Kevin Spacey,Micky Rosa,Male,USA
21,Laurence Fishburne,Cole Williams,Male,USA
21,Sam Golzari,Cam,Male,UK
21 & Over,Christiann Castellanos,Pledge Gomez,Female,Mexico
21 & Over,Josie Loren,Pledge Aguilar,Female,USA
21 & Over,Samantha Futerman,Sally Huang,Female,South Korea
21 & Over,Sarah Wright,Nicole,Female,USA
21 & Over,Daniel Booko,Julian,Male,USA
21 & Over,Dustin Ybarra,PJ Brill,Male,None
21 & Over,Franiois Chau,Dr. Chang       (as Francois Chau),Male,Cambodia
21 & Over,Jonathan Keltz,Randy,Male,USA
21 & Over,Josh Truax,Stoner #2,Male,None
21 & Over,Julian Gavilanes,Stoner #1,Male,USA
21 & Over,Justin Chon,Jeff Chang,Male,USA
21 & Over,Miles Teller,Miller,Male,USA
21 & Over,Russell Hodgkinson,The Chief,Male,USA
21 & Over,Russell Mercado,Jayden,Male,None
21 & Over,Skylar Astin,Casey,Male,USA
21 Jump Street,Brie Larson,Molly Tracey,Female,USA
